日期,时点,甘肃_实时市场出清总电量（MWh）
2026-01-07,06:15,8771.78
2026-01-07,06:30,8820.82
2026-01-07,06:45,8822.62
2026-01-07,07:00,8784.34
2026-01-07,07:15,8337.58
2026-01-07,07:30,8429.20
2026-01-07,07:45,8454.70
2026-01-07,08:00,8638.81
2026-01-07,08:15,8744.71
2026-01-07,08:30,8859.62
2026-01-07,08:45,8861.34
2026-01-07,09:00,9036.39
2026-01-07,09:15,9057.79
2026-01-07,09:30,9216.14
2026-01-07,09:45,9443.19
2026-01-07,10:00,9361.12
2026-01-07,10:15,9477.61
2026-01-07,10:30,9687.10
2026-01-07,10:45,9374.67
2026-01-07,11:00,9236.51
2026-01-07,11:15,9187.25
2026-01-07,11:30,9196.91
2026-01-07,11:45,8891.39
2026-01-07,12:00,8624.64
2026-01-07,12:15,8435.84
2026-01-07,12:30,8596.33
2026-01-07,12:45,8512.58
2026-01-07,13:00,8500.66
2026-01-07,13:15,8430.08
2026-01-07,13:30,8436.51
2026-01-07,13:45,8432.17
2026-01-07,14:00,8562.74
2026-01-07,14:15,8407.77
2026-01-07,14:30,8398.08
2026-01-07,14:45,8531.43
2026-01-07,15:00,8664.60
2026-01-07,15:15,8665.78
2026-01-07,15:30,8700.55
2026-01-07,15:45,8844.14
2026-01-07,16:00,9104.43
2026-01-07,16:15,8800.30
2026-01-07,16:30,9347.19
2026-01-07,16:45,10098.80
2026-01-07,17:00,10142
2026-01-07,17:15,10137.20
2026-01-07,17:30,10089.60
2026-01-07,17:45,9636.97
2026-01-07,18:00,9444.96
2026-01-07,18:15,9341.94
2026-01-07,18:30,9351.42
2026-01-07,18:45,9338.62
2026-01-07,19:00,9380.43
2026-01-07,19:15,9312.53
2026-01-07,19:30,9301.87
2026-01-07,19:45,9246.14
2026-01-07,20:00,9261.95
2026-01-07,20:15,9328.17
2026-01-07,20:30,9287.59
2026-01-07,20:45,9081.53
2026-01-07,21:00,8947.31
2026-01-07,21:15,8883.71
2026-01-07,21:30,8861.17
2026-01-07,21:45,8694.33
2026-01-07,22:00,8657.03
2026-01-07,22:15,9000.12
2026-01-07,22:30,8873.88
2026-01-07,22:45,8671.84
2026-01-07,23:00,8627.06
2026-01-07,23:15,8582.96
2026-01-07,23:30,8520.39
2026-01-07,23:45,8474.70
2026-01-07,24:00,8423.59
2026-01-08,00:15,8753.28
2026-01-08,00:30,8830.75
2026-01-08,00:45,8725.47
2026-01-08,01:00,8812.25
2026-01-08,01:15,8793.81
2026-01-08,01:30,8848.11
2026-01-08,01:45,8836.52
2026-01-08,02:00,8780.32
2026-01-08,02:15,8859.49
2026-01-08,02:30,8819.03
2026-01-08,02:45,8806.46
2026-01-08,03:00,8807.62
2026-01-08,03:15,8645.22
2026-01-08,03:30,8635.55
2026-01-08,03:45,8607.27
2026-01-08,04:00,8598.08
2026-01-08,04:15,8614.41
2026-01-08,04:30,8600.87
2026-01-08,04:45,8631.61
2026-01-08,05:00,8599.43
2026-01-08,05:15,8631.84
2026-01-08,05:30,8641.76
2026-01-08,05:45,8726.64
2026-01-08,06:00,8741.26
2026-01-08,06:15,8880.64
2026-01-08,06:30,8942.68
2026-01-08,06:45,8851.69
2026-01-08,07:00,8774.96
2026-01-08,07:15,8372.61
2026-01-08,07:30,8402.57
2026-01-08,07:45,8415.32
2026-01-08,08:00,8458.83
2026-01-08,08:15,8669.56
2026-01-08,08:30,8728.34
2026-01-08,08:45,8782.67
2026-01-08,09:00,8803.48
2026-01-08,09:15,9087.95
2026-01-08,09:30,9122.58
2026-01-08,09:45,9207.74
2026-01-08,10:00,9598.26
2026-01-08,10:15,9134.10
2026-01-08,10:30,9336.79
2026-01-08,10:45,9270.22
2026-01-08,11:00,9273.68
2026-01-08,11:15,9253.97
2026-01-08,11:30,9163.18
2026-01-08,11:45,9064.59
2026-01-08,12:00,8785.81
2026-01-08,12:15,8500.72
2026-01-08,12:30,8460.92
2026-01-08,12:45,8256.39
2026-01-08,13:00,8720.68
2026-01-08,13:15,8273.52
2026-01-08,13:30,8364.58
2026-01-08,13:45,8331.67
2026-01-08,14:00,8274.76
2026-01-08,14:15,8394.19
2026-01-08,14:30,8341.21
2026-01-08,14:45,8367.92
2026-01-08,15:00,8449.41
2026-01-08,15:15,8475.43
2026-01-08,15:30,8517.16
2026-01-08,15:45,8493.38
2026-01-08,16:00,8530.46
2026-01-08,16:15,8480.91
2026-01-08,16:30,9227.96
2026-01-08,16:45,9464.21
2026-01-08,17:00,9619.24
2026-01-08,17:15,9729.91
2026-01-08,17:30,10037.50
2026-01-08,17:45,9830.35
2026-01-08,18:00,9825.58
2026-01-08,18:15,9961.62
